OverallQual_train,GrLivArea_train,GarageCars_train,GarageArea_train,TotalBsmtSF_train,FrstFlrSF_train,FullBath_train,TotRmsAbvGrd_train,YearBuilt_train,YearRemodAdd_train,SalePrice_train,,OverallQual_test,GrLivArea_test,GarageCars_test,GarageArea_test,TotalBsmtSF_test,FrstFlrSF_test,FullBath_test,TotRmsAbvGrd_test,YearBuilt_test,YearRemodAdd_test,SalePrice_test
5,1040,1,384,1040,1040,1,5,1965,1965,129500,,2.440268378,12.96138344,1.194317638,10.32747503,13.10788014,12.96138344,1.194317638,2.055641538,14.18127774,14.18127774,200093
9,2324,3,736,1175,1182,3,11,2005,2006,345000,,2.259673787,12.08855851,0.730463147,8.728897992,10.18471617,10.18471617,0.730463147,2.055641538,14.13723429,14.13723429,94041
5,912,1,352,912,912,1,4,1962,1962,144000,,2.055641538,12.37486,0.730463147,9.178050664,10.39638094,10.39638094,0.730463147,2.259673787,14.13723429,14.13723429,93607
7,1494,3,840,1494,1494,2,7,2006,2007,279500,,2.259673787,13.21385031,1.194317638,9.951171657,11.68940758,11.68940758,1.194317638,2.259673787,14.14355863,14.14355863,146127
6,1253,1,352,1253,1253,1,5,1960,1960,157000,,2.440268378,11.6277076,0.730463147,9.08775673,11.6277076,11.6277076,0.730463147,1.820334104,14.14355863,14.14355863,114107
7,854,2,576,832,854,1,5,1929,2001,132000,,2.750250297,14.67123816,1.540962756,11.33618972,13.47796207,13.54754929,1.194317638,2.885846472,14.19688057,14.19843723,386533
6,1004,2,480,1004,1004,1,5,1970,1970,149000,,2.602594469,13.38950386,1.540962756,11.73095601,13.38950386,13.38950386,1.194317638,2.440268378,14.19688057,14.19843723,251070
4,1296,2,516,,1296,2,6,1967,1967,90000,,2.750250297,13.67739894,1.540962756,11.25986809,13.67739894,13.67739894,1.194317638,2.440268378,14.19064738,14.19064738,286138
5,1114,2,576,1114,1114,1,6,2004,2004,159000,,2.602594469,13.89350523,1.540962756,11.0625361,13.89350523,13.89350523,1.194317638,2.602594469,14.19064738,14.19220667,282378
5,1339,1,294,1029,1339,1,6,1958,1965,139000,,2.750250297,15.13756978,1.540962756,12.00493321,15.315316,15.13756978,1.194317638,2.885846472,14.18752681,14.18908743,518659
8,2376,3,853,1158,1158,3,9,2005,2006,325300,,2.602594469,14.55429521,1.540962756,11.35409417,13.62857289,13.65758703,1.194317638,2.440268378,14.18596554,14.18596554,318665
7,1108,1,280,637,1108,1,6,1930,1950,139400,,2.602594469,13.03324864,1.194317638,10.18993413,13.03324864,13.03324864,1.194317638,2.259673787,14.19220667,14.19220667,204140
8,1795,2,534,1777,1795,2,7,2002,2002,230000,,2.259673787,12.9326587,1.194317638,9.89409593,12.9326587,12.9326587,1.194317638,2.259673787,14.19064738,14.19064738,179913
5,1060,2,572,1040,1060,1,6,1976,1976,129900,,2.440268378,12.51058791,1.194317638,9.934165447,12.51058791,12.51058791,1.194317638,2.259673787,14.19220667,14.19220667,165240
5,1060,1,270,1060,1060,1,6,1968,2001,154000,,2.440268378,13.04185938,1.194317638,9.71584164,9.616086912,11.31095273,1.194317638,2.440268378,14.18908743,14.18908743,182127
8,1600,3,890,1566,1600,2,7,2007,2007,256300,,2.440268378,13.73971969,1.194317638,9.911335817,11.66357196,11.66357196,1.194317638,2.440268378,14.18908743,14.18908743,194677
5,900,2,576,900,900,1,5,1951,2000,134800,,2.602594469,14.85972991,1.540962756,12.01659447,13.55127232,13.58091762,1.194317638,2.440268378,14.17971381,14.17971381,347887
8,1704,3,772,1704,1704,2,7,2007,2008,306000,,2.602594469,13.48744563,1.540962756,11.76884209,13.48744563,13.48744563,1.194317638,2.259673787,14.19064738,14.19220667,229864
5,1600,1,319,1484,1600,1,6,1957,1997,207500,,2.440268378,12.68905181,1.194317638,11.05469305,12.68905181,12.68905181,1.194317638,1.820334104,14.19688057,14.19843723,200316
4,520,1,240,520,520,1,4,1927,1950,68500,,2.259673787,13.23832547,1.194317638,10.41094335,13.23832547,13.23832547,1.194317638,2.259673787,14.19064738,14.19064738,238645
4,1317,1,250,649,649,1,6,1920,1950,40000,,2.440268378,13.60665701,1.194317638,10.18993413,11.61127302,11.61127302,1.194317638,2.602594469,14.18908743,14.18908743,193830
5,1228,1,271,1228,1228,1,6,1966,2006,149350,,2.055641538,12.15899103,0.730463147,9.888326632,11.56146049,12.15899103,0.730463147,2.055641538,14.05562803,14.10385151,93444
8,1234,2,484,1234,1234,2,7,2007,2007,179900,,2.259673787,13.29077736,1.194317638,10.0675365,12.66515081,13.29077736,1.194317638,2.440268378,14.14197856,14.18596554,173347
5,1700,2,447,1398,1700,1,6,1959,1959,165500,,2.602594469,14.69174339,1.540962756,11.37544729,12.71987519,12.7667602,1.194317638,2.750250297,14.17188418,14.17188418,294435
9,1561,2,556,1561,1561,2,6,2005,2005,277500,,2.602594469,14.51877463,1.540962756,11.19670658,13.0760908,13.10154541,1.194317638,2.440268378,14.17031625,14.17188418,284820
8,2452,3,691,1117,1132,3,9,2004,2005,309000,,2.440268378,13.2787423,1.194317638,10.30247732,13.2787423,13.2787423,1.194317638,2.259673787,14.18908743,14.19064738,243681
5,1097,2,672,1097,1097,1,6,1994,1995,145000,,2.440268378,13.64492223,1.194317638,10.68838996,11.64079529,11.64079529,1.194317638,1.540962756,14.18908743,14.18908743,179854
5,1297,2,498,1297,1297,1,5,1954,1990,153000,,2.440268378,12.64590872,1.194317638,10.16900713,10.74097394,10.74097394,1.194317638,1.820334104,14.18908743,14.18908743,167049
5,1057,1,246,1057,1057,1,5,1953,2007,109000,,2.440268378,12.64590872,1.194317638,10.16900713,10.74097394,10.74097394,1.194317638,1.820334104,14.18908743,14.19064738,161795
4,1152,,,,1152,2,6,1955,1955,82000,,2.259673787,12.73165675,1.194317638,10.16900713,10.74097394,10.74097394,1.194317638,1.820334104,14.19064738,14.19064738,157961
6,1324,2,440,1088,1324,2,6,1965,1965,160000,,2.259673787,13.32663782,1.194317638,9.951171657,11.35409417,11.35409417,1.194317638,2.055641538,14.182841,14.182841,177972
5,1328,1,308,1350,1328,1,5,1959,1959,170000,,2.440268378,12.34335426,1.194317638,10.25184672,10.42061267,10.42061267,1.194317638,1.820334104,14.18752681,14.18752681,143478
5,884,2,504,840,884,1,5,1983,1983,144000,,2.602594469,13.13519856,1.540962756,11.67974337,13.57537784,13.13519856,0.730463147,2.259673787,14.19843723,14.19843723,289970
5,938,1,308,938,938,1,5,1975,1980,130250,,2.602594469,13.93722594,1.194317638,10.70601833,12.05421136,12.05421136,1.194317638,2.440268378,14.182841,14.182841,240845
5,1150,1,300,1150,1150,1,6,1959,1959,141000,,2.440268378,13.28677024,1.194317638,10.7235459,13.28677024,13.28677024,1.194317638,2.259673787,14.18596554,14.18596554,229778
9,1752,2,576,1752,1752,2,6,2005,2005,319900,,2.259673787,13.90532806,1.194317638,10.44465122,13.90532806,13.90532806,1.194317638,2.602594469,14.13089904,14.13089904,184917
7,2149,2,670,1434,1518,1,6,2003,2003,239686,,2.259673787,14.88572288,1.194317638,10.99122955,12.83362515,12.83362515,1.194317638,2.750250297,14.17188418,14.17188418,256575
8,1656,3,826,1656,1656,2,7,2006,2006,249700,,2.259673787,14.00839963,1.194317638,11.0625361,12.70331253,12.84957199,1.540962756,2.440268378,14.14829474,14.14829474,191579
4,1452,,,736,736,2,8,1920,2008,113000,,2.259673787,13.58091762,1.194317638,9.956818543,11.20420328,11.92212641,0.730463147,2.440268378,14.13723429,14.13723429,159390
5,955,1,386,955,955,1,6,1966,1966,127000,,2.055641538,12.72223475,1.194317638,10.2210512,12.72223475,12.72223475,0.730463147,2.259673787,14.12931352,14.12931352,146988
6,1470,2,388,794,794,2,6,1997,1997,177000,,2.055641538,12.66754846,1.194317638,10.29241953,12.66754846,12.66754846,0.730463147,2.259673787,14.12931352,14.12931352,151961
6,1176,2,528,816,816,1,6,1934,1950,114500,,2.055641538,13.32267129,1.194317638,10.35719983,13.32267129,13.32267129,1.194317638,2.259673787,14.13089904,14.13089904,171102
5,816,2,516,816,816,1,5,1963,1963,110000,,2.259673787,13.81310853,1.194317638,10.16900713,10.43505876,12.47526251,1.194317638,2.602594469,14.12614042,14.12614042,144052
9,1842,3,894,1842,1842,,5,1981,1987,385000,,2.055641538,13.73088256,0,0,13.73088256,13.73088256,1.194317638,2.885846472,14.12296457,14.1844036,160110
5,1360,2,572,384,1360,1,6,1955,1955,130000,,2.055641538,14.84142844,1.194317638,9.71584164,12.49801402,14.0701619,1.194317638,2.440268378,14.10704395,14.18596554,200808
6,1425,2,576,1425,1425,2,7,1964,1964,180500,,2.259673787,13.41279351,1.194317638,10.1160351,11.44560841,12.17844723,1.194317638,2.259673787,14.10225425,14.10385151,149113
8,1739,2,480,970,983,2,7,1999,2000,172500,,2.259673787,12.4676445,0.730463147,9.140782844,12.34335426,12.4676445,0.730463147,2.055641538,14.12931352,14.19532326,160067
7,1720,2,565,860,860,2,7,2004,2004,196500,,2.055641538,13.50445256,1.194317638,10.63488735,13.50445256,13.50445256,1.194317638,2.602594469,14.11660461,14.11660461,129731
10,2945,3,641,1410,1426,3,10,2006,2006,438780,,2.440268378,13.26263127,1.194317638,10.82666301,13.26263127,13.26263127,1.194317638,2.440268378,14.18752681,14.19688057,217816
5,780,1,352,780,780,1,4,1972,1972,124900,,2.055641538,12.50556396,0.730463147,9.08775673,12.50556396,12.50556396,0.730463147,2.259673787,14.11819563,14.11819563,131869
6,1158,2,576,1158,1158,1,5,2004,2004,158000,,2.055641538,12.66035046,0.730463147,9.118180874,12.66035046,12.66035046,0.730463147,2.259673787,14.11819563,14.11819563,136204
5,1111,1,288,530,581,1,6,1920,1996,101000,,2.259673787,13.45891872,1.194317638,9.951171657,12.75042334,13.45891872,0.730463147,2.259673787,14.11819563,14.11819563,169613
8,1370,2,484,1370,1370,2,6,2006,2006,202500,,1.820334104,12.96138344,0.730463147,8.720169513,11.61456664,11.61456664,0.730463147,2.055641538,14.11342049,14.11342049,114553
7,1710,2,480,576,902,2,9,1921,1950,140000,,2.055641538,12.30088091,0.730463147,9.163203154,11.71822847,12.30088091,0.730463147,1.820334104,14.10704395,14.10704395,124715
7,2034,2,645,1057,1057,2,8,1997,1998,219500,,2.055641538,12.04556851,0.730463147,9.064718155,12.04556851,12.04556851,0.730463147,2.055641538,14.11182739,14.11182739,122299
8,2473,3,852,1143,1143,2,9,2004,2005,317000,,2.055641538,12.09140474,0.730463147,8.728897992,12.09140474,12.09140474,0.730463147,2.055641538,14.11660461,14.11660461,113340
7,2207,2,576,1947,2207,2,7,1970,1989,180000,,1.820334104,12.0828587,1.194317638,11.05469305,10.63488735,12.0828587,0.730463147,1.820334104,14.05562803,14.17345144,106107
7,1479,2,558,1453,1479,2,7,2003,2003,226000,,2.259673787,12.70331253,0.730463147,8.864879393,11.56146049,11.56146049,0.730463147,2.055641538,14.10065629,14.18908743,130721
4,747,1,220,747,747,1,4,1945,1950,80000,,2.055641538,12.58506675,1.194317638,10.18993413,12.58506675,12.58506675,0.730463147,2.259673787,14.11978597,14.11978597,149676
7,2287,2,667,1304,1304,2,7,1953,1953,225000,,2.259673787,13.08671949,1.194317638,9.951171657,13.08671949,13.08671949,0.730463147,2.440268378,14.12455283,14.1577487,174095
7,2223,2,516,2223,2223,2,8,1973,1973,244000,,1.820334104,13.93053383,0.730463147,8.51121971,11.18165948,12.54057607,0.730463147,2.750250297,14.02312218,14.11023361,104765
4,845,2,360,845,845,1,4,1982,2006,129500,,2.055641538,11.94004722,0,0,11.94004722,11.94004722,0.730463147,2.055641538,14.05562803,14.10385151,96091
7,1718,2,427,832,885,2,7,1998,1998,185000,,2.055641538,12.98331841,1.194317638,10.52031456,12.98331841,12.98331841,0.730463147,2.259673787,14.1150129,14.1150129,148167
5,1086,2,490,1086,1086,1,6,1954,2003,144900,,2.259673787,12.7667602,0.730463147,8.51121971,11.5980648,11.5980648,0.730463147,2.259673787,14.08463827,14.182841,124684
3,1605,1,379,840,840,2,8,1915,1950,107400,,2.055641538,13.55870676,0.730463147,8.51121971,12.20054441,12.20054441,0.730463147,2.440268378,14.10065629,14.19688057,150151
4,988,1,297,462,526,1,5,1973,1973,91000,,2.055641538,12.75276195,0.730463147,9.140782844,12.14782183,12.29017787,0.730463147,2.259673787,14.05562803,14.12296457,106324
4,952,1,283,952,952,1,4,1956,1956,135750,,1.194317638,11.61456664,1.194317638,11.43866129,11.0625361,11.61456664,0.730463147,2.055641538,14.06047907,14.1356515,58746
5,1285,1,240,672,1072,1,6,1948,2001,127000,,2.602594469,13.43208529,0.730463147,8.930417558,11.92212641,11.92212641,1.194317638,2.440268378,14.02312218,14.18752681,146785
4,1768,,,1768,1768,2,8,1968,1968,136500,,2.602594469,14.57966297,1.194317638,10.8435187,9.364242825,12.54057607,1.540962756,2.440268378,14.00676011,14.18596554,196875
5,1230,2,440,440,682,1,5,1910,1981,110000,,2.055641538,14.56277023,0,0,11.64079529,12.4676445,1.194317638,3.128238686,14.03941125,14.10385151,95489
6,2142,1,509,896,1182,2,8,1968,1968,193500,,2.259673787,13.24238813,1.194317638,10.8435187,11.2891601,11.73095601,0.730463147,2.259673787,14.05886277,14.17345144,139727
6,1337,2,405,1237,1337,2,5,1998,1998,153500,,2.055641538,13.51950192,0.730463147,9.479667947,12.09140474,12.20879318,0.730463147,2.440268378,14.10385151,14.17814922,141926
8,1563,3,758,1563,1563,2,6,2007,2007,245000,,2.440268378,14.28761679,0.730463147,9.140782844,12.41641342,12.54803182,0.730463147,2.602594469,14.05886277,14.19064738,198910
5,1065,2,461,1065,1065,1,6,1960,1960,126500,,1.820334104,11.38607038,0.730463147,8.10359365,11.38607038,11.38607038,0.730463147,1.820334104,14.06370953,14.10385151,82508
7,1474,2,400,384,804,2,7,1995,1996,168500,,2.259673787,12.47779803,0.730463147,8.51121971,10.77553626,10.77553626,0.730463147,2.055641538,14.08624323,14.10385151,109551
8,2417,2,462,1288,1301,2,9,1991,1992,260000,,2.259673787,12.63624679,1.194317638,10.63488735,10.6168429,11.66681272,0.730463147,2.259673787,14.08784748,14.10385151,133086
6,1560,2,400,684,684,2,6,2005,2005,174000,,2.055641538,13.20770476,0.730463147,8.51121971,11.62442737,11.9961601,0.730463147,2.440268378,14.09105389,14.10385151,136676
6,1224,2,528,612,612,2,4,2009,2009,164500,,2.259673787,13.13100961,0.730463147,9.118180874,11.43866129,11.43866129,0.730463147,2.259673787,14.10065629,14.10385151,136490
3,1526,,,1013,1013,1,6,1915,1982,85000,,2.055641538,12.23614252,1.194317638,10.8435187,10.41094335,10.50627096,0.730463147,2.055641538,14.08142624,14.15144877,116415
4,990,,,990,990,1,5,1994,1995,123600,,2.055641538,13.37389186,1.194317638,10.16900713,11.91613099,11.91613099,1.194317638,2.440268378,14.07177321,14.10385151,138467
4,1040,2,420,,1040,1,4,1950,1950,109900,,2.259673787,12.31154984,0.730463147,8.930417558,12.45746034,12.31154984,0.730463147,2.055641538,14.06047907,14.10385151,106895
5,1235,2,480,1235,1235,1,6,1961,1961,98600,,1.820334104,14.12296457,1.194317638,10.6168429,11.79385652,11.79385652,0.730463147,2.750250297,14.04752864,14.10385151,142341
5,964,2,432,876,964,1,5,1921,2006,163500,,2.259673787,13.42052282,0,0,11.43866129,11.43866129,0.730463147,2.440268378,14.04266037,14.19688057,151315
6,2291,2,506,1214,1260,2,9,1910,1998,133900,,2.259673787,12.9326587,0.730463147,7.873203455,10.99923343,10.99923343,0.730463147,2.259673787,14.05562803,14.17188418,114047
6,1786,2,684,824,905,2,7,1997,1997,204750,,2.055641538,13.63584848,0.730463147,9.492944396,13.14356142,13.63584848,1.194317638,2.602594469,14.11819563,14.11819563,163378
6,1470,2,420,680,680,2,6,1993,1993,185000,,2.055641538,12.70331253,0.730463147,7.873203455,11.10532515,11.24142192,0.730463147,2.259673787,14.05077055,14.10385151,85379
7,1588,2,472,1588,1588,2,6,1999,1999,214000,,2.055641538,13.08034617,0,0,12.6747313,12.6747313,0.730463147,2.259673787,14.04752864,14.10385151,111377
4,960,1,432,960,960,1,6,1965,1965,94750,,2.259673787,11.88901507,0.730463147,8.424817023,10.74097394,10.74097394,0.730463147,2.055641538,14.08784748,14.10385151,99127
5,835,1,366,458,835,1,5,1920,1950,83000,,1.820334104,13.99690754,0,0,11.17410889,11.95787075,0.730463147,2.440268378,14.03453216,14.10385151,72721
4,1225,,,950,1225,1,6,1959,1959,128950,,2.055641538,13.64492223,1.194317638,10.00715769,11.69262259,11.94004722,1.194317638,2.440268378,14.03941125,14.10385151,130691
6,1610,2,480,1610,1610,2,6,1977,2001,205000,,1.820334104,13.91038323,0,0,13.91038323,13.91038323,1.194317638,2.602594469,14.13089904,14.13089904,141168
6,1732,2,476,741,977,2,7,1985,1985,178000,,2.055641538,11.80629205,0.730463147,9.812268655,11.71822847,11.80629205,0.730463147,2.055641538,14.12931352,14.19532326,128948
5,1535,2,410,,1535,2,8,1979,1979,118964,,2.055641538,11.71822847,0.730463147,8.864879393,11.71822847,11.71822847,0.730463147,1.820334104,14.13248388,14.13248388,119418
7,1226,3,740,1226,1226,2,6,2009,2009,198900,,2.055641538,13.03970869,1.194317638,10.70162073,12.92154691,13.03970869,0.730463147,2.055641538,14.14829474,14.14829474,161787
7,1818,1,240,1040,1226,1,7,1931,1950,169500,,2.055641538,13.18094884,1.194317638,10.16900713,11.22286745,11.22286745,0.730463147,2.440268378,14.13248388,14.13248388,148177
8,1992,2,648,1053,1053,2,9,2003,2004,250000,,2.440268378,13.26868155,1.194317638,11.10918625,13.13938249,13.26868155,0.730463147,1.820334104,14.14671672,14.1844036,232129
4,1047,1,273,641,1047,1,6,1885,1995,100000,,1.820334104,11.35409417,1.194317638,9.951171657,10.99122955,11.35409417,0.730463147,1.820334104,14.06693714,14.10385151,73508
5,789,1,250,789,789,1,5,1948,1950,115000,,2.259673787,14.15302476,1.194317638,10.38174777,12.43956377,12.43956377,1.194317638,2.602594469,14.14829474,14.17031625,233970
5,1517,,,793,997,2,7,1919,2005,115000,,1.540962756,13.51574554,0.730463147,10.16900713,12.04556851,12.26866849,1.194317638,2.602594469,14.08463827,14.16717839,136599
6,1844,2,546,1844,1844,2,7,1977,1977,190000,,2.259673787,12.32748977,0.730463147,10.09995709,11.00322768,12.32748977,0.730463147,2.259673787,14.10385151,14.16246657,133613
6,1855,1,325,994,1216,2,7,1954,1972,136900,,1.820334104,13.36409925,0.730463147,8.200959587,11.35409417,12.57030123,0.730463147,2.602594469,14.09905764,14.14987209,120174
7,1430,2,400,384,774,2,7,2000,2000,180000,,2.055641538,12.57769201,0.730463147,9.49955951,12.57769201,12.57769201,0.730463147,2.055641538,14.11023361,14.17971381,145862
7,2696,3,792,1264,1282,2,10,2007,2007,383970,,2.440268378,13.31870029,1.194317638,10.6168429,13.31870029,13.31870029,0.730463147,2.055641538,14.19688057,14.19843723,251687
6,2259,2,450,1809,2259,2,7,1953,1953,217000,,2.055641538,12.87448312,1.194317638,10.29241953,12.76443112,12.87448312,1.194317638,2.055641538,14.12614042,14.12614042,114594
6,2320,1,180,1028,1436,2,9,1945,2002,259500,,2.440268378,13.16645672,1.194317638,10.41094335,13.16645672,13.16645672,0.730463147,1.820334104,14.16246657,14.16246657,222159
6,1458,2,440,729,729,2,5,1999,1999,176000,,2.259673787,13.85951177,1.820334104,12.17289993,11.96969963,12.02240967,1.194317638,2.602594469,14.17188418,14.17188418,248001
5,1092,1,288,1092,1092,1,6,1962,1962,139000,,2.440268378,12.69856557,1.194317638,10.80546315,12.69856557,12.69856557,1.194317638,2.259673787,14.19843723,14.19843723,189307
5,1125,2,430,1125,1125,1,5,2006,2007,155000,,2.259673787,13.19126376,1.194317638,10.18993413,11.05469305,11.61127302,1.194317638,2.259673787,14.02312218,14.17188418,143068
7,3222,3,594,1673,1699,3,11,1990,1990,320000,,2.055641538,12.02531343,1.194317638,10.65282578,11.73730111,12.02531343,0.730463147,1.820334104,14.17658396,14.17658396,147484
6,1456,2,390,728,728,2,8,2005,2006,163990,,2.440268378,13.66660601,1.194317638,10.33741604,11.76255833,11.80629205,1.194317638,2.602594469,14.17814922,14.17971381,192443
6,988,2,540,938,988,1,4,1969,1969,180000,,2.055641538,12.19779027,0.730463147,9.08775673,12.19779027,12.19779027,0.730463147,2.055641538,14.14671672,14.18908743,152323
4,1123,1,264,732,772,1,4,1939,1950,100000,,2.055641538,11.7562624,1.194317638,10.18993413,11.7562624,11.7562624,0.730463147,2.055641538,14.1388164,14.1388164,124230
6,1080,1,288,1080,1080,1,5,1958,1958,136000,,2.602594469,14.14829474,1.540962756,11.6732845,14.14829474,14.14829474,1.194317638,2.602594469,14.18752681,14.18752681,311051
6,1199,2,530,1199,1199,2,5,1993,1993,153900,,2.440268378,14.33291324,1.194317638,10.83088557,12.23614252,12.24701976,1.194317638,2.750250297,14.17814922,14.17814922,221314
6,1586,2,435,1362,1586,2,7,1979,1998,181000,,2.259673787,11.66681272,1.194317638,9.835883259,11.66681272,11.66681272,0.730463147,1.820334104,14.18752681,14.18752681,140705
6,754,,,520,520,1,5,1935,1982,84500,,1.540962756,10.91003759,0.730463147,8.51121971,0,10.91003759,0.730463147,2.055641538,14.09585824,14.19376529,66614
6,958,2,440,1078,958,2,5,1976,1976,128000,,2.055641538,12.10276525,0.730463147,9.170636769,9.59699179,12.10276525,0.730463147,2.259673787,14.11023361,14.11023361,96596
5,840,,,672,840,1,5,1930,1950,87000,,2.055641538,12.63624679,0.730463147,9.294080796,12.63624679,12.63624679,0.730463147,2.259673787,14.13248388,14.13248388,148643
6,1348,2,453,660,660,1,6,1966,1966,155000,,1.820334104,12.44724536,1.194317638,10.16900713,11.31095273,11.48011939,0.730463147,2.055641538,14.10065629,14.10385151,99579
5,1053,2,750,1008,1053,1,6,1958,1991,150000,,2.259673787,12.38529658,0.730463147,9.405519222,12.14782183,12.38529658,0.730463147,2.055641538,14.14355863,14.14355863,135996
7,2157,2,487,924,1216,2,8,1966,1966,226000,,1.820334104,12.010769,0,0,12.010769,12.010769,0.730463147,2.055641538,14.11660461,14.11660461,96318
6,2054,2,390,992,1022,2,7,2000,2000,244000,,2.055641538,12.86996719,0.730463147,8.693814389,12.41383131,12.86996719,1.194317638,2.055641538,14.06209466,14.18127774,121325
5,1327,2,624,1063,1327,1,7,1959,2002,150750,,2.259673787,11.69262259,1.194317638,9.709707015,11.69262259,11.69262259,0.730463147,1.820334104,14.08624323,14.10385151,126595
8,1296,2,471,1267,1296,2,6,2001,2002,220000,,1.820334104,15.08137719,0,0,0,11.71184593,1.540962756,2.885846472,14.13089904,14.13089904,132841
5,1721,2,440,1461,1721,2,7,1968,1993,180000,,2.055641538,13.61945757,0,0,11.81249208,11.81249208,0.730463147,2.440268378,14.07338382,14.10385151,107211
7,1682,2,530,1304,1682,2,7,1970,1970,174000,,2.440268378,14.38506876,0.730463147,9.118180874,13.35821064,12.70568354,0.730463147,2.602594469,14.08945103,14.15932199,238480
5,1214,1,318,1214,1214,2,5,1967,1967,143000,,2.055641538,14.44961383,1.194317638,10.18993413,12.21428103,12.40089097,1.194317638,3.011340243,14.10385151,14.16874766,193406
7,1959,3,766,1907,1959,3,9,1988,1989,171000,,2.440268378,13.59381048,1.194317638,10.13202629,9.853469377,11.81868033,1.194317638,2.259673787,14.17345144,14.19376529,216053
8,1852,3,660,1004,1004,2,7,1999,2000,230000,,2.602594469,12.21975986,1.194317638,10.73227229,12.07429052,12.21975986,0.730463147,1.820334104,14.16560845,14.16560845,160863
6,1764,2,470,928,928,2,7,1997,1997,231500,,2.602594469,12.6241307,1.194317638,10.42543572,12.6241307,12.6241307,1.194317638,2.055641538,14.16560845,14.16560845,162376
4,864,,,864,864,1,5,1971,1971,115000,,1.194317638,10.46849991,0.730463147,8.10359365,10.16900713,10.46849991,0.730463147,1.820334104,14.08945103,14.10385151,61689
7,1734,2,660,1734,1734,2,7,2005,2005,260000,,2.259673787,12.41383131,0.730463147,10.84771829,10.86445983,11.24881331,0.730463147,2.055641538,14.05724576,14.14355863,112278
5,1385,2,720,910,910,2,6,1952,1952,166000,,1.820334104,11.98736356,0.730463147,9.251129533,11.35409417,11.98736356,0.730463147,2.055641538,14.01658615,14.10385151,80679
7,1501,2,577,1490,1501,2,6,1999,1999,204000,,2.602594469,13.58276231,1.194317638,10.39638094,13.48555094,13.58276231,1.194317638,2.055641538,14.18908743,14.19064738,259630
5,1728,2,504,1728,1728,2,10,1963,1963,125000,,2.602594469,14.04914995,1.540962756,11.30007514,12.26056665,12.22522969,1.194317638,2.602594469,14.17971381,14.18127774,239082
6,1709,2,380,970,970,2,7,2004,2006,130000,,2.259673787,12.84502328,1.194317638,10.13202629,12.74808313,12.84502328,1.194317638,2.259673787,14.14671672,14.14671672,168075
5,875,1,180,715,875,1,5,1931,1993,105000,,2.259673787,14.25710802,1.194317638,11.42472158,14.11660461,14.25710802,1.540962756,2.750250297,14.14513801,14.14513801,165891
7,2035,2,434,884,884,2,8,2001,2001,222500,,2.440268378,12.98113114,1.540962756,10.99122955,12.95918229,12.98113114,1.194317638,2.259673787,14.19532326,14.19532326,220433
7,1080,,,1080,1080,1,6,2004,2005,141000,,2.440268378,12.67951148,1.194317638,10.37195263,12.67951148,12.67951148,1.194317638,2.259673787,14.19688057,14.19843723,187169
5,1344,1,240,896,896,1,7,1936,1950,115000,,2.055641538,13.18920321,1.194317638,9.71584164,9.616086912,11.31095273,1.194317638,2.440268378,14.19220667,14.19376529,150525
